No,Country,Latitude,Longitude,Crop,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
7824,Ecuador,-1.8312,-78.1834,Sorghum,2004,20000,2274,29799.84,22.04
7825,Ecuador,-1.8312,-78.1834,Sorghum,2004,20000,2274,29799.84,17.73
7467,Ecuador,-1.8312,-78.1834,Potatoes,1990,71727,2274,2537,21.82
7537,Ecuador,-1.8312,-78.1834,Wheat,1992,5911,2274,2012,17.67
7980,Ecuador,-1.8312,-78.1834,Potatoes,2010,87422,2274,31637.12,21.98
7975,Ecuador,-1.8312,-78.1834,Maize,2010,22348,2274,31637.12,17.79
8043,Ecuador,-1.8312,-78.1834,Soybeans,2012,16923,2274,11469.74,21.86
8044,Ecuador,-1.8312,-78.1834,Soybeans,2012,16923,2274,11469.74,17.46
8045,Ecuador,-1.8312,-78.1834,Soybeans,2012,16923,2274,11469.74,22.16
7465,Ecuador,-1.8312,-78.1834,Plantains and others,1990,118358,2274,2537,17.6
7976,Ecuador,-1.8312,-78.1834,Maize,2010,22348,2274,31637.12,22.3
7796,Ecuador,-1.8312,-78.1834,"Rice, paddy",2002,38746,2274,1302.49,22.47
7478,Ecuador,-1.8312,-78.1834,Soybeans,1990,19873,2274,2537,22.12
7470,Ecuador,-1.8312,-78.1834,"Rice, paddy",1990,31218,2274,2537,21.82
7466,Ecuador,-1.8312,-78.1834,Plantains and others,1990,118358,2274,2537,22.12
7538,Ecuador,-1.8312,-78.1834,Wheat,1992,5911,2274,2012,22.19
7979,Ecuador,-1.8312,-78.1834,Plantains and others,2010,48375,2274,31637.12,22.3
8036,Ecuador,-1.8312,-78.1834,Potatoes,2012,83078,2274,11469.74,22.16
7471,Ecuador,-1.8312,-78.1834,"Rice, paddy",1990,31218,2274,2537,17.6
8046,Ecuador,-1.8312,-78.1834,Sweet potatoes,2012,19575,2274,11469.74,21.86
7977,Ecuador,-1.8312,-78.1834,Plantains and others,2010,48375,2274,31637.12,21.98
7476,Ecuador,-1.8312,-78.1834,Soybeans,1990,19873,2274,2537,21.82
7716,Ecuador,-1.8312,-78.1834,Sorghum,1999,13548,2274,14216,21.21
7717,Ecuador,-1.8312,-78.1834,Sorghum,1999,13548,2274,14216,17.02
7480,Ecuador,-1.8312,-78.1834,Sweet potatoes,1990,59520,2274,2537,17.6
8047,Ecuador,-1.8312,-78.1834,Sweet potatoes,2012,19575,2274,11469.74,17.46
7534,Ecuador,-1.8312,-78.1834,Sweet potatoes,1992,28667,2274,2012,17.67
7464,Ecuador,-1.8312,-78.1834,Plantains and others,1990,118358,2274,2537,21.82
7479,Ecuador,-1.8312,-78.1834,Sweet potatoes,1990,59520,2274,2537,21.82
7536,Ecuador,-1.8312,-78.1834,Wheat,1992,5911,2274,2012,21.94
7472,Ecuador,-1.8312,-78.1834,"Rice, paddy",1990,31218,2274,2537,22.12
8048,Ecuador,-1.8312,-78.1834,Sweet potatoes,2012,19575,2274,11469.74,22.16
7535,Ecuador,-1.8312,-78.1834,Sweet potatoes,1992,28667,2274,2012,22.19
7545,Ecuador,-1.8312,-78.1834,Plantains and others,1993,93053,2274,1844,21.86
7463,Ecuador,-1.8312,-78.1834,Maize,1990,10602,2274,2537,22.12
7978,Ecuador,-1.8312,-78.1834,Plantains and others,2010,48375,2274,31637.12,17.79
7473,Ecuador,-1.8312,-78.1834,Sorghum,1990,28273,2274,2537,21.82
7544,Ecuador,-1.8312,-78.1834,Maize,1993,11442,2274,1844,22.15
7477,Ecuador,-1.8312,-78.1834,Soybeans,1990,19873,2274,2537,17.6
7475,Ecuador,-1.8312,-78.1834,Sorghum,1990,28273,2274,2537,22.12
8049,Ecuador,-1.8312,-78.1834,Wheat,2012,7995,2274,11469.74,21.86
7474,Ecuador,-1.8312,-78.1834,Sorghum,1990,28273,2274,2537,17.6
8290,Egypt,26.8206,30.8025,Maize,2006,83705,51,9781,22.05
8279,Egypt,26.8206,30.8025,"Rice, paddy",2005,99874,51,5471,21.08
8392,Egypt,26.8206,30.8025,"Rice, paddy",2013,95865,51,13653,22.91
8278,Egypt,26.8206,30.8025,Potatoes,2005,250826,51,5471,22.01
8391,Egypt,26.8206,30.8025,"Rice, paddy",2013,95865,51,13653,21.44
8289,Egypt,26.8206,30.8025,Maize,2006,83705,51,9781,21.15
8365,Egypt,26.8206,30.8025,Sorghum,2011,53457,51,12945,21.18
8163,Egypt,26.8206,30.8025,Maize,1996,69523,51,4499,20.85
8390,Egypt,26.8206,30.8025,Potatoes,2013,266276,51,13653,22.91
8105,Egypt,26.8206,30.8025,Wheat,1991,48163,51,8255,20.64
8142,Egypt,26.8206,30.8025,Sorghum,1994,46272,51,4283,22.02
8106,Egypt,26.8206,30.8025,Wheat,1991,48163,51,8255,21.65
8363,Egypt,26.8206,30.8025,"Rice, paddy",2011,95670,51,12945,21.18
8364,Egypt,26.8206,30.8025,"Rice, paddy",2011,95670,51,12945,21.99
8282,Egypt,26.8206,30.8025,Sorghum,2005,56118,51,5471,22.01
8283,Egypt,26.8206,30.8025,Soybeans,2005,34000,51,5471,21.08
8277,Egypt,26.8206,30.8025,Potatoes,2005,250826,51,5471,21.08
8104,Egypt,26.8206,30.8025,Sweet potatoes,1991,270456,51,8255,21.65
8288,Egypt,26.8206,30.8025,Wheat,2005,64929,51,5471,22.01
8182,Egypt,26.8206,30.8025,"Rice, paddy",1997,84152,51,4607,21.45
8196,Egypt,26.8206,30.8025,"Rice, paddy",1998,86401,51,4715,22.36
8164,Egypt,26.8206,30.8025,Maize,1996,69523,51,4499,21.88
8393,Egypt,26.8206,30.8025,Sorghum,2013,53777,51,13653,21.44
8280,Egypt,26.8206,30.8025,"Rice, paddy",2005,99874,51,5471,22.01
8143,Egypt,26.8206,30.8025,Soybeans,1994,28828,51,4283,21.1
8275,Egypt,26.8206,30.8025,Maize,2005,81607,51,5471,21.08
8347,Egypt,26.8206,30.8025,Potatoes,2010,259211,51,11590,22.46
8181,Egypt,26.8206,30.8025,"Rice, paddy",1997,84152,51,4607,20.52
8362,Egypt,26.8206,30.8025,Potatoes,2011,264311,51,12945,21.99
8144,Egypt,26.8206,30.8025,Soybeans,1994,28828,51,4283,22.02
8323,Egypt,26.8206,30.8025,Sorghum,2008,56258,51,9527,21.74
8145,Egypt,26.8206,30.8025,Sweet potatoes,1994,247138,51,4283,21.1
8321,Egypt,26.8206,30.8025,"Rice, paddy",2008,97349,51,9527,21.74
8305,Egypt,26.8206,30.8025,Potatoes,2007,255717,51,9105,21.51
8204,Egypt,26.8206,30.8025,Wheat,1998,59896,51,4715,22.36
8306,Egypt,26.8206,30.8025,Potatoes,2007,255717,51,9105,22.36
8146,Egypt,26.8206,30.8025,Sweet potatoes,1994,247138,51,4283,22.02
8322,Egypt,26.8206,30.8025,"Rice, paddy",2008,97349,51,9527,22.64
8276,Egypt,26.8206,30.8025,Maize,2005,81607,51,5471,22.01
8240,Egypt,26.8206,30.8025,Sorghum,2001,57964,51,5039,22.33
8103,Egypt,26.8206,30.8025,Sweet potatoes,1991,270456,51,8255,20.64
8291,Egypt,26.8206,30.8025,Potatoes,2006,250085,51,9781,21.15
8368,Egypt,26.8206,30.8025,Soybeans,2011,31195,51,12945,21.99
8369,Egypt,26.8206,30.8025,Sweet potatoes,2011,318249,51,12945,21.18
8324,Egypt,26.8206,30.8025,Sorghum,2008,56258,51,9527,22.64
8367,Egypt,26.8206,30.8025,Soybeans,2011,31195,51,12945,21.18
8360,Egypt,26.8206,30.8025,Maize,2011,77409,51,12945,21.99
8292,Egypt,26.8206,30.8025,Potatoes,2006,250085,51,9781,22.05
8397,Egypt,26.8206,30.8025,Sweet potatoes,2013,336781,51,13653,21.44
8359,Egypt,26.8206,30.8025,Maize,2011,77409,51,12945,21.18
8399,Egypt,26.8206,30.8025,Wheat,2013,66682,51,13653,21.44
8400,Egypt,26.8206,30.8025,Wheat,2013,66682,51,13653,22.91
8287,Egypt,26.8206,30.8025,Wheat,2005,64929,51,5471,21.08
8366,Egypt,26.8206,30.8025,Sorghum,2011,53457,51,12945,21.99
8295,Egypt,26.8206,30.8025,Sorghum,2006,56859,51,9781,21.15
8296,Egypt,26.8206,30.8025,Sorghum,2006,56859,51,9781,22.05
8297,Egypt,26.8206,30.8025,Soybeans,2006,30817,51,9781,21.15
8370,Egypt,26.8206,30.8025,Sweet potatoes,2011,318249,51,12945,21.99
8371,Egypt,26.8206,30.8025,Wheat,2011,65428,51,12945,21.18
8372,Egypt,26.8206,30.8025,Wheat,2011,65428,51,12945,21.99
8281,Egypt,26.8206,30.8025,Sorghum,2005,56118,51,5471,21.08
8396,Egypt,26.8206,30.8025,Soybeans,2013,34767,51,13653,22.91
8398,Egypt,26.8206,30.8025,Sweet potatoes,2013,336781,51,13653,22.91
8178,Egypt,26.8206,30.8025,Maize,1997,71298,51,4607,21.45
8179,Egypt,26.8206,30.8025,Potatoes,1997,218355,51,4607,20.52
8180,Egypt,26.8206,30.8025,Potatoes,1997,218355,51,4607,21.45
8294,Egypt,26.8206,30.8025,"Rice, paddy",2006,100750,51,9781,22.05
8239,Egypt,26.8206,30.8025,Sorghum,2001,57964,51,5039,21.45
8388,Egypt,26.8206,30.8025,Maize,2013,77223,51,13653,22.91
8389,Egypt,26.8206,30.8025,Potatoes,2013,266276,51,13653,21.44
8110,Egypt,26.8206,30.8025,Potatoes,1992,209071,51,6156,21.11
8111,Egypt,26.8206,30.8025,"Rice, paddy",1992,76511,51,6156,20.09
8112,Egypt,26.8206,30.8025,"Rice, paddy",1992,76511,51,6156,21.11
8165,Egypt,26.8206,30.8025,Potatoes,1996,202048,51,4499,20.85
8166,Egypt,26.8206,30.8025,Potatoes,1996,202048,51,4499,21.88
8201,Egypt,26.8206,30.8025,Sweet potatoes,1998,240060,51,4715,21.29
8202,Egypt,26.8206,30.8025,Sweet potatoes,1998,240060,51,4715,22.36
8303,Egypt,26.8206,30.8025,Maize,2007,80463,51,9105,21.51
8304,Egypt,26.8206,30.8025,Maize,2007,80463,51,9105,22.36
8102,Egypt,26.8206,30.8025,Soybeans,1991,28366,51,8255,21.65
8120,Egypt,26.8206,30.8025,Wheat,1992,52546,51,6156,21.11
8140,Egypt,26.8206,30.8025,"Rice, paddy",1994,79130,51,4283,22.02
8141,Egypt,26.8206,30.8025,Sorghum,1994,46272,51,4283,21.1
8149,Egypt,26.8206,30.8025,Maize,1995,61630,51,4391,20.62
8150,Egypt,26.8206,30.8025,Maize,1995,61630,51,4391,21.56
8151,Egypt,26.8206,30.8025,Potatoes,1995,211244,51,4391,20.62
8113,Egypt,26.8206,30.8025,Sorghum,1992,51247,51,6156,20.09
8361,Egypt,26.8206,30.8025,Potatoes,2011,264311,51,12945,21.18
8203,Egypt,26.8206,30.8025,Wheat,1998,59896,51,4715,21.29
8116,Egypt,26.8206,30.8025,Soybeans,1992,26981,51,6156,21.11
8158,Egypt,26.8206,30.8025,Soybeans,1995,24344,51,4391,21.56
8293,Egypt,26.8206,30.8025,"Rice, paddy",2006,100750,51,9781,21.15
8119,Egypt,26.8206,30.8025,Wheat,1992,52546,51,6156,20.09
8333,Egypt,26.8206,30.8025,Potatoes,2009,264241,51,9013,21.67
8334,Egypt,26.8206,30.8025,Potatoes,2009,264241,51,9013,22.63
8335,Egypt,26.8206,30.8025,"Rice, paddy",2009,95930,51,9013,21.67
8336,Egypt,26.8206,30.8025,"Rice, paddy",2009,95930,51,9013,22.63
8183,Egypt,26.8206,30.8025,Sorghum,1997,50427,51,4607,20.52
8184,Egypt,26.8206,30.8025,Sorghum,1997,50427,51,4607,21.45
8152,Egypt,26.8206,30.8025,Potatoes,1995,211244,51,4391,21.56
8147,Egypt,26.8206,30.8025,Wheat,1994,50026,51,4283,21.1
8148,Egypt,26.8206,30.8025,Wheat,1994,50026,51,4283,22.02
8167,Egypt,26.8206,30.8025,"Rice, paddy",1996,82910,51,4499,20.85
8117,Egypt,26.8206,30.8025,Sweet potatoes,1992,241308,51,6156,20.09
8118,Egypt,26.8206,30.8025,Sweet potatoes,1992,241308,51,6156,21.11
8332,Egypt,26.8206,30.8025,Maize,2009,78184,51,9013,22.63
8238,Egypt,26.8206,30.8025,"Rice, paddy",2001,92833,51,5039,22.33
8387,Egypt,26.8206,30.8025,Maize,2013,77223,51,13653,21.44
8192,Egypt,26.8206,30.8025,Maize,1998,72257,51,4715,22.36
8193,Egypt,26.8206,30.8025,Potatoes,1998,223302,51,4715,21.29
8194,Egypt,26.8206,30.8025,Potatoes,1998,223302,51,4715,22.36
8195,Egypt,26.8206,30.8025,"Rice, paddy",1998,86401,51,4715,21.29
8380,Egypt,26.8206,30.8025,Sorghum,2012,53034,51,13991,22.48
8197,Egypt,26.8206,30.8025,Sorghum,1998,56077,51,4715,21.29
8114,Egypt,26.8206,30.8025,Sorghum,1992,51247,51,6156,21.11
8115,Egypt,26.8206,30.8025,Soybeans,1992,26981,51,6156,20.09
8200,Egypt,26.8206,30.8025,Soybeans,1998,26207,51,4715,22.36
8331,Egypt,26.8206,30.8025,Maize,2009,78184,51,9013,21.67
8206,Egypt,26.8206,30.8025,Maize,1999,75174,51,4823,22.28
8207,Egypt,26.8206,30.8025,Potatoes,1999,232915,51,4823,21.46
8208,Egypt,26.8206,30.8025,Potatoes,1999,232915,51,4823,22.28
8307,Egypt,26.8206,30.8025,"Rice, paddy",2007,97675,51,9105,21.51
8308,Egypt,26.8206,30.8025,"Rice, paddy",2007,97675,51,9105,22.36
8309,Egypt,26.8206,30.8025,Sorghum,2007,56763,51,9105,21.51
8310,Egypt,26.8206,30.8025,Sorghum,2007,56763,51,9105,22.36
8311,Egypt,26.8206,30.8025,Soybeans,2007,32880,51,9105,21.51
8312,Egypt,26.8206,30.8025,Soybeans,2007,32880,51,9105,22.36
8153,Egypt,26.8206,30.8025,"Rice, paddy",1995,81356,51,4391,20.62
8154,Egypt,26.8206,30.8025,"Rice, paddy",1995,81356,51,4391,21.56
8156,Egypt,26.8206,30.8025,Sorghum,1995,44770,51,4391,21.56
8205,Egypt,26.8206,30.8025,Maize,1999,75174,51,4823,21.46
8354,Egypt,26.8206,30.8025,Soybeans,2010,28453,51,11590,23.72
8355,Egypt,26.8206,30.8025,Sweet potatoes,2010,306078,51,11590,22.46
8159,Egypt,26.8206,30.8025,Sweet potatoes,1995,259786,51,4391,20.62
8160,Egypt,26.8206,30.8025,Sweet potatoes,1995,259786,51,4391,21.56
8161,Egypt,26.8206,30.8025,Wheat,1995,54221,51,4391,20.62
8162,Egypt,26.8206,30.8025,Wheat,1995,54221,51,4391,21.56
8337,Egypt,26.8206,30.8025,Sorghum,2009,55287,51,9013,21.67
8338,Egypt,26.8206,30.8025,Sorghum,2009,55287,51,9013,22.63
8185,Egypt,26.8206,30.8025,Soybeans,1997,26223,51,4607,20.52
8186,Egypt,26.8206,30.8025,Soybeans,1997,26223,51,4607,21.45
8187,Egypt,26.8206,30.8025,Sweet potatoes,1997,224888,51,4607,20.52
8188,Egypt,26.8206,30.8025,Sweet potatoes,1997,224888,51,4607,21.45
8177,Egypt,26.8206,30.8025,Maize,1997,71298,51,4607,20.52
8098,Egypt,26.8206,30.8025,"Rice, paddy",1991,74554,51,8255,21.65
8190,Egypt,26.8206,30.8025,Wheat,1997,55994,51,4607,21.45
8101,Egypt,26.8206,30.8025,Soybeans,1991,28366,51,8255,20.64
8191,Egypt,26.8206,30.8025,Maize,1998,72257,51,4715,21.29
8376,Egypt,26.8206,30.8025,Potatoes,2012,268531,51,13991,22.48
8377,Egypt,26.8206,30.8025,"Rice, paddy",2012,95296,51,13991,21.55
8378,Egypt,26.8206,30.8025,"Rice, paddy",2012,95296,51,13991,22.48
8379,Egypt,26.8206,30.8025,Sorghum,2012,53034,51,13991,21.55
8122,Egypt,26.8206,30.8025,Maize,1993,60780,51,4175,21.79
8325,Egypt,26.8206,30.8025,Soybeans,2008,33601,51,9527,21.74
8198,Egypt,26.8206,30.8025,Sorghum,1998,56077,51,4715,22.36
8199,Egypt,26.8206,30.8025,Soybeans,1998,26207,51,4715,21.29
8328,Egypt,26.8206,30.8025,Sweet potatoes,2008,276425,51,9527,22.64
8329,Egypt,26.8206,30.8025,Wheat,2008,65031,51,9527,21.74
8330,Egypt,26.8206,30.8025,Wheat,2008,65031,51,9527,22.64
8089,Egypt,26.8206,30.8025,Sweet potatoes,1990,257930,51,13214,20.73
8090,Egypt,26.8206,30.8025,Sweet potatoes,1990,257930,51,13214,21.6
8091,Egypt,26.8206,30.8025,Wheat,1990,51967,51,13214,20.73
8092,Egypt,26.8206,30.8025,Wheat,1990,51967,51,13214,21.6
8254,Egypt,26.8206,30.8025,Sorghum,2002,57756,51,5147,22.41
8255,Egypt,26.8206,30.8025,Soybeans,2002,29904,51,5147,21.46
8256,Egypt,26.8206,30.8025,Soybeans,2002,29904,51,5147,22.41
8257,Egypt,26.8206,30.8025,Sweet potatoes,2002,276970,51,5147,21.46
8313,Egypt,26.8206,30.8025,Sweet potatoes,2007,298171,51,9105,21.51
8314,Egypt,26.8206,30.8025,Sweet potatoes,2007,298171,51,9105,22.36
8155,Egypt,26.8206,30.8025,Sorghum,1995,44770,51,4391,20.62
8157,Egypt,26.8206,30.8025,Soybeans,1995,24344,51,4391,20.62
8261,Egypt,26.8206,30.8025,Maize,2004,79087,51,5363,21.06
8262,Egypt,26.8206,30.8025,Maize,2004,79087,51,5363,22.08
8263,Egypt,26.8206,30.8025,Potatoes,2004,244443,51,5363,21.06
8264,Egypt,26.8206,30.8025,Potatoes,2004,244443,51,5363,22.08
8265,Egypt,26.8206,30.8025,"Rice, paddy",2004,98384,51,5363,21.06
8266,Egypt,26.8206,30.8025,"Rice, paddy",2004,98384,51,5363,22.08
8172,Egypt,26.8206,30.8025,Soybeans,1996,26103,51,4499,21.88
8298,Egypt,26.8206,30.8025,Soybeans,2006,30817,51,9781,22.05
8299,Egypt,26.8206,30.8025,Sweet potatoes,2006,119702,51,9781,21.15
8300,Egypt,26.8206,30.8025,Sweet potatoes,2006,119702,51,9781,22.05
8301,Egypt,26.8206,30.8025,Wheat,2006,64303,51,9781,21.15
8302,Egypt,26.8206,30.8025,Wheat,2006,64303,51,9781,22.05
8189,Egypt,26.8206,30.8025,Wheat,1997,55994,51,4607,20.52
8235,Egypt,26.8206,30.8025,Potatoes,2001,238739,51,5039,21.45
8236,Egypt,26.8206,30.8025,Potatoes,2001,238739,51,5039,22.33
8237,Egypt,26.8206,30.8025,"Rice, paddy",2001,92833,51,5039,21.45
8375,Egypt,26.8206,30.8025,Potatoes,2012,268531,51,13991,21.55
8107,Egypt,26.8206,30.8025,Maize,1992,61346,51,6156,20.09
8108,Egypt,26.8206,30.8025,Maize,1992,61346,51,6156,21.11
8109,Egypt,26.8206,30.8025,Potatoes,1992,209071,51,6156,20.09
8121,Egypt,26.8206,30.8025,Maize,1993,60780,51,4175,20.74
8079,Egypt,26.8206,30.8025,Maize,1990,57803,51,13214,20.73
8123,Egypt,26.8206,30.8025,Potatoes,1993,207792,51,4175,20.74
8124,Egypt,26.8206,30.8025,Potatoes,1993,207792,51,4175,21.79
8125,Egypt,26.8206,30.8025,"Rice, paddy",1993,77184,51,4175,20.74
8126,Egypt,26.8206,30.8025,"Rice, paddy",1993,77184,51,4175,21.79
8127,Egypt,26.8206,30.8025,Sorghum,1993,53366,51,4175,20.74
8128,Egypt,26.8206,30.8025,Sorghum,1993,53366,51,4175,21.79
8129,Egypt,26.8206,30.8025,Soybeans,1993,27534,51,4175,20.74
8284,Egypt,26.8206,30.8025,Soybeans,2005,34000,51,5471,22.01
8285,Egypt,26.8206,30.8025,Sweet potatoes,2005,175000,51,5471,21.08
8286,Egypt,26.8206,30.8025,Sweet potatoes,2005,175000,51,5471,22.01
8133,Egypt,26.8206,30.8025,Wheat,1993,52970,51,4175,20.74
8134,Egypt,26.8206,30.8025,Wheat,1993,52970,51,4175,21.79
8345,Egypt,26.8206,30.8025,Maize,2010,72700,51,11590,22.46
8348,Egypt,26.8206,30.8025,Potatoes,2010,259211,51,11590,23.72
8349,Egypt,26.8206,30.8025,"Rice, paddy",2010,94217,51,11590,22.46
8350,Egypt,26.8206,30.8025,"Rice, paddy",2010,94217,51,11590,23.72
8351,Egypt,26.8206,30.8025,Sorghum,2010,50060,51,11590,22.46
8353,Egypt,26.8206,30.8025,Soybeans,2010,28453,51,11590,22.46
8219,Egypt,26.8206,30.8025,Maize,2000,76800,51,4931,20.74
8220,Egypt,26.8206,30.8025,Maize,2000,76800,51,4931,21.49
8221,Egypt,26.8206,30.8025,Potatoes,2000,235931,51,4931,20.74
8168,Egypt,26.8206,30.8025,"Rice, paddy",1996,82910,51,4499,21.88
8169,Egypt,26.8206,30.8025,Sorghum,1996,43520,51,4499,20.85
8170,Egypt,26.8206,30.8025,Sorghum,1996,43520,51,4499,21.88
8267,Egypt,26.8206,30.8025,Sorghum,2004,56674,51,5363,21.06
8268,Egypt,26.8206,30.8025,Sorghum,2004,56674,51,5363,22.08
8269,Egypt,26.8206,30.8025,Soybeans,2004,30266,51,5363,21.06
8270,Egypt,26.8206,30.8025,Soybeans,2004,30266,51,5363,22.08
8271,Egypt,26.8206,30.8025,Sweet potatoes,2004,281242,51,5363,21.06
8272,Egypt,26.8206,30.8025,Sweet potatoes,2004,281242,51,5363,22.08
8097,Egypt,26.8206,30.8025,"Rice, paddy",1991,74554,51,8255,20.64
8096,Egypt,26.8206,30.8025,Potatoes,1991,202345,51,8255,21.65
8234,Egypt,26.8206,30.8025,Maize,2001,69798,51,5039,22.33
8099,Egypt,26.8206,30.8025,Sorghum,1991,49724,51,8255,20.64
8100,Egypt,26.8206,30.8025,Sorghum,1991,49724,51,8255,21.65
8317,Egypt,26.8206,30.8025,Maize,2008,79053,51,9527,21.74
8318,Egypt,26.8206,30.8025,Maize,2008,79053,51,9527,22.64
8319,Egypt,26.8206,30.8025,Potatoes,2008,259390,51,9527,21.74
8320,Egypt,26.8206,30.8025,Potatoes,2008,259390,51,9527,22.64
8212,Egypt,26.8206,30.8025,Sorghum,1999,57692,51,4823,22.28
8080,Egypt,26.8206,30.8025,Maize,1990,57803,51,13214,21.6
8081,Egypt,26.8206,30.8025,Potatoes,1990,205592,51,13214,20.73
8082,Egypt,26.8206,30.8025,Potatoes,1990,205592,51,13214,21.6
8326,Egypt,26.8206,30.8025,Soybeans,2008,33601,51,9527,22.64
8327,Egypt,26.8206,30.8025,Sweet potatoes,2008,276425,51,9527,21.74
8247,Egypt,26.8206,30.8025,Maize,2002,77656,51,5147,21.46
8248,Egypt,26.8206,30.8025,Maize,2002,77656,51,5147,22.41
8249,Egypt,26.8206,30.8025,Potatoes,2002,240382,51,5147,21.46
8250,Egypt,26.8206,30.8025,Potatoes,2002,240382,51,5147,22.41
8209,Egypt,26.8206,30.8025,"Rice, paddy",1999,88780,51,4823,21.46
8210,Egypt,26.8206,30.8025,"Rice, paddy",1999,88780,51,4823,22.28
8211,Egypt,26.8206,30.8025,Sorghum,1999,57692,51,4823,21.46
8358,Egypt,26.8206,30.8025,Wheat,2010,55741,51,11590,23.72
8213,Egypt,26.8206,30.8025,Soybeans,1999,26367,51,4823,21.46
8214,Egypt,26.8206,30.8025,Soybeans,1999,26367,51,4823,22.28
8215,Egypt,26.8206,30.8025,Sweet potatoes,1999,240545,51,4823,21.46
8216,Egypt,26.8206,30.8025,Sweet potatoes,1999,240545,51,4823,22.28
8352,Egypt,26.8206,30.8025,Sorghum,2010,50060,51,11590,23.72
8260,Egypt,26.8206,30.8025,Wheat,2002,64345,51,5147,22.41
8315,Egypt,26.8206,30.8025,Wheat,2007,64673,51,9105,21.51
8316,Egypt,26.8206,30.8025,Wheat,2007,64673,51,9105,22.36
8222,Egypt,26.8206,30.8025,Potatoes,2000,235931,51,4931,21.49
8223,Egypt,26.8206,30.8025,"Rice, paddy",2000,91025,51,4931,20.74
8224,Egypt,26.8206,30.8025,"Rice, paddy",2000,91025,51,4931,21.49
8171,Egypt,26.8206,30.8025,Soybeans,1996,26103,51,4499,20.85
8253,Egypt,26.8206,30.8025,Sorghum,2002,57756,51,5147,21.46
8173,Egypt,26.8206,30.8025,Sweet potatoes,1996,231357,51,4499,20.85
8174,Egypt,26.8206,30.8025,Sweet potatoes,1996,231357,51,4499,21.88
8175,Egypt,26.8206,30.8025,Wheat,1996,56384,51,4499,20.85
8176,Egypt,26.8206,30.8025,Wheat,1996,56384,51,4499,21.88
8095,Egypt,26.8206,30.8025,Potatoes,1991,202345,51,8255,20.64
8233,Egypt,26.8206,30.8025,Maize,2001,69798,51,5039,21.45
8273,Egypt,26.8206,30.8025,Wheat,2004,65567,51,5363,21.06
8373,Egypt,26.8206,30.8025,Maize,2012,77723,51,13991,21.55
8374,Egypt,26.8206,30.8025,Maize,2012,77723,51,13991,22.48
8342,Egypt,26.8206,30.8025,Sweet potatoes,2009,285425,51,9013,22.63
8343,Egypt,26.8206,30.8025,Wheat,2009,63829,51,9013,21.67
8344,Egypt,26.8206,30.8025,Wheat,2009,63829,51,9013,22.63
8357,Egypt,26.8206,30.8025,Wheat,2010,55741,51,11590,22.46
8131,Egypt,26.8206,30.8025,Sweet potatoes,1993,260629,51,4175,20.74
8132,Egypt,26.8206,30.8025,Sweet potatoes,1993,260629,51,4175,21.79
8226,Egypt,26.8206,30.8025,Sorghum,2000,57885,51,4931,21.49
8241,Egypt,26.8206,30.8025,Soybeans,2001,27922,51,5039,21.45
8381,Egypt,26.8206,30.8025,Soybeans,2012,36186,51,13991,21.55
8394,Egypt,26.8206,30.8025,Sorghum,2013,53777,51,13653,22.91
8395,Egypt,26.8206,30.8025,Soybeans,2013,34767,51,13653,21.44
8135,Egypt,26.8206,30.8025,Maize,1994,59065,51,4283,21.1
8136,Egypt,26.8206,30.8025,Maize,1994,59065,51,4283,22.02
8137,Egypt,26.8206,30.8025,Potatoes,1994,204487,51,4283,21.1
8251,Egypt,26.8206,30.8025,"Rice, paddy",2002,93889,51,5147,21.46
8252,Egypt,26.8206,30.8025,"Rice, paddy",2002,93889,51,5147,22.41
8139,Egypt,26.8206,30.8025,"Rice, paddy",1994,79130,51,4283,21.1
8130,Egypt,26.8206,30.8025,Soybeans,1993,27534,51,4175,21.79
8225,Egypt,26.8206,30.8025,Sorghum,2000,57885,51,4931,20.74
8230,Egypt,26.8206,30.8025,Sweet potatoes,2000,273327,51,4931,21.49
8346,Egypt,26.8206,30.8025,Maize,2010,72700,51,11590,23.72
8258,Egypt,26.8206,30.8025,Sweet potatoes,2002,276970,51,5147,22.41
8259,Egypt,26.8206,30.8025,Wheat,2002,64345,51,5147,21.46
8340,Egypt,26.8206,30.8025,Soybeans,2009,31252,51,9013,22.63
8231,Egypt,26.8206,30.8025,Wheat,2000,63422,51,4931,20.74
8217,Egypt,26.8206,30.8025,Wheat,1999,63467,51,4823,21.46
8218,Egypt,26.8206,30.8025,Wheat,1999,63467,51,4823,22.28
8246,Egypt,26.8206,30.8025,Wheat,2001,63580,51,5039,22.33
8356,Egypt,26.8206,30.8025,Sweet potatoes,2010,306078,51,11590,23.72
8087,Egypt,26.8206,30.8025,Soybeans,1990,25773,51,13214,20.73
8088,Egypt,26.8206,30.8025,Soybeans,1990,25773,51,13214,21.6
8094,Egypt,26.8206,30.8025,Maize,1991,58951,51,8255,21.65
8382,Egypt,26.8206,30.8025,Soybeans,2012,36186,51,13991,22.48
8227,Egypt,26.8206,30.8025,Soybeans,2000,27199,51,4931,20.74
8093,Egypt,26.8206,30.8025,Maize,1991,58951,51,8255,20.64
8341,Egypt,26.8206,30.8025,Sweet potatoes,2009,285425,51,9013,21.67
8386,Egypt,26.8206,30.8025,Wheat,2012,65823,51,13991,22.48
8383,Egypt,26.8206,30.8025,Sweet potatoes,2012,323485,51,13991,21.55
